Numero operacion, Valor, duracion
0,1477375218,3500
1,296701105,32900
2,1351044962,3942
3,849418103,7142
4,1535944573,4169
5,1858287797,7860
6,1778480021,6477
7,667920292,5992
8,801459307,7639
9,1908609430,8328
10,0,5273
11,0,6928
12,0,7861
13,0,5446
14,0,8631
15,0,22775
16,0,9640
17,0,7852
18,0,13341
19,0,7370
20,0,10039
21,0,12067
22,0,10077
23,0,7305
24,0,8569
25,0,16791
26,0,6905
27,0,5960
28,0,4292
29,0,6066
30,0,6200
31,0,7804
32,0,6263
33,0,15561
34,0,6723
35,0,6372
36,0,4618
37,0,5674
38,0,6958
39,0,6498
40,0,6386
41,0,6619
42,0,6354
43,0,7031
44,0,16007
45,0,6483
46,0,6954
47,0,8438
48,0,6971
49,0,7588
50,0,7829
51,0,6448
52,0,7296
53,0,7147
54,0,9864
55,0,42005
56,0,34711
57,0,6388
58,0,5682
59,0,5950
60,0,5947
61,0,6464
62,0,7975
63,0,6107
64,0,6053
65,0,6445
66,0,5952
67,0,6030
68,0,6517
69,0,8443
70,0,8000
71,0,8980
72,0,9771
73,0,15713
74,0,11017
75,0,17543
76,0,9215
77,0,12236
78,0,10502
79,0,12071
80,0,11704
81,0,10473
82,0,9940
83,0,11979
84,0,8877
85,0,10205
86,0,22722
87,0,7139
88,0,7748
89,0,6377
90,0,7512
91,0,8894
92,0,7113
93,0,6491
94,0,8967
95,0,11258
96,0,6760
97,0,6786
98,0,6786
99,0,6814
100,0,8323
101,0,7809
102,0,6416
103,0,6318
104,0,17102
105,0,32559
106,0,7730
107,0,6726
108,0,7964
109,0,7415
110,0,6854
111,0,7287
112,0,7175
113,0,6632
114,0,6660
115,0,9167
116,0,6857
117,0,8433
118,0,7173
119,0,8481
120,0,7559
121,0,7513
122,0,7044
123,0,6175
124,0,7303
125,0,7246
126,0,6713
127,0,8833
128,0,7283
129,0,6933
130,0,6461
131,0,7873
132,0,28052
133,0,22760
134,0,9873
135,0,12097
136,0,10311
137,0,18507
138,0,7409
139,0,8196
140,0,7379
141,0,6837
142,0,15222
143,0,8066
144,0,7495
145,0,7494
146,0,10744
147,0,10502
148,0,10854
149,0,11739
150,0,11724
151,0,12404
152,0,27741
153,0,11989
154,0,13988
155,0,12370
156,0,17949
157,0,13155
158,0,22647
159,0,12403
160,0,11080
161,0,8109
162,0,8772
163,0,7590
164,0,9441
165,0,9679
166,0,8766
167,0,7529
168,0,16229
169,0,43479
170,0,10121
171,0,7890
172,0,8620
173,0,8034
174,0,12364
175,0,17972
176,0,8096
177,0,8319
178,0,7673
179,0,6932
180,0,7559
181,0,19811
182,0,8136
183,0,7477
184,0,8242
185,0,9139
186,0,7671
187,0,7665
188,0,9667
189,0,8010
190,0,7899
191,0,18294
192,0,7273
193,0,7514
194,0,8068
195,0,9596
196,0,32782
197,0,14033
198,0,8839
199,0,15662
200,0,11137
201,0,7811
202,0,9323
203,0,12487
204,0,8439
205,0,9635
206,0,7102
207,0,8312
208,0,9908
209,0,7858
210,0,9088
211,0,8405
212,0,8804
213,0,6939
214,0,8835
215,0,8979
216,0,7424
217,0,7563
218,0,7673
219,0,15712
220,0,20073
221,0,9610
222,0,8483
223,0,9967
224,0,20845
225,0,8205
226,0,7570
227,0,8408
228,0,7640
229,0,8570
230,0,9021
231,0,10377
232,0,8380
233,0,8570
234,0,7911
235,0,10700
236,0,8217
237,0,8192
238,0,10299
239,0,8665
240,0,18197
241,0,8172
242,0,9291
243,0,8460
244,0,20651
245,0,7792
246,0,7670
247,0,8472
248,0,11053
249,0,13491
250,0,7748
251,0,7361
252,0,39720
253,0,9186
254,0,9742
255,0,8381
256,0,9958
257,0,10088
258,0,12624
259,0,39308
260,0,30577
261,0,21436
262,0,11806
263,0,16209
264,0,12284
265,0,11419
266,0,11739
267,0,13200
268,0,14085
269,0,11597
270,0,11932
271,0,11528
272,0,12323
273,0,15452
274,0,15286
275,0,12142
276,0,11833
277,0,10751
278,0,8994
279,0,7752
280,0,43325
281,0,8993
282,0,10119
283,0,9125
284,0,8499
285,0,11637
286,0,12866
287,0,9273
288,0,19904
289,0,9319
290,0,12120
291,0,8530
292,0,9131
293,0,9854
294,0,9034
295,0,8732
296,0,11101
297,0,7274
298,0,8533
299,0,10907
300,0,28248
301,0,10474
302,0,18305
303,0,44943
304,0,7046
305,0,6901
306,0,6540
307,0,8101
308,0,5543
309,0,6602
310,0,5376
311,0,7719
312,0,5872
313,0,5789
314,0,6303
315,0,6766
316,0,6513
317,0,6125
318,0,6333
319,0,17304
320,0,8340
321,0,5369
322,0,6479
323,0,5941
324,0,6368
325,0,7467
326,0,7124
327,0,6383
328,0,6578
329,0,6875
330,0,7533
331,0,7748
332,0,7436
333,0,16347
334,0,6859
335,0,6955
336,0,7705
337,0,7843
338,0,7245
339,0,7865
340,0,6343
341,0,6974
342,0,6061
343,0,9142
344,0,6124
345,0,6637
346,0,8350
347,0,7047
348,0,6434
349,0,25785
350,0,8482
351,0,9562
352,0,7176
353,0,7051
354,0,8636
355,0,7566
356,0,6749
357,0,6495
358,0,21115
359,0,6265
360,0,9705
361,0,8033
362,0,6712
363,0,10117
364,0,7197
365,0,8034
366,0,8070
367,0,8412
368,0,8372
369,0,8194
370,0,6351
371,0,5755
372,0,7407
373,0,6685
374,0,7283
375,0,6190
376,0,6712
377,0,8860
378,0,7254
379,0,7226
380,0,6582
381,0,7924
382,0,7909
383,0,7404
384,0,8014
385,0,7381
386,0,6576
387,0,6489
388,0,27724
389,0,28166
390,0,7396
391,0,8807
392,0,8286
393,0,8368
394,0,18433
395,0,7486
396,0,7780
397,0,7013
398,0,15344
399,0,7208
400,0,8165
401,0,9630
402,0,6820
403,0,8350
404,0,7379
405,0,6691
406,0,9228
407,0,7541
408,0,7208
409,0,22361
410,0,7628
411,0,6214
412,0,7200
413,0,9688
414,0,8883
415,0,6335
416,0,9771
417,0,8997
418,0,6608
419,0,7200
420,0,7979
421,0,6739
422,0,8786
423,0,8419
424,0,9977
425,0,9303
426,0,8718
427,0,8835
428,0,9537
429,0,8034
430,0,9779
431,0,12319
432,0,14776
433,0,14147
434,0,12195
435,0,13513
436,0,21852
437,0,11557
438,0,12153
439,0,10366
440,0,14128
441,0,11997
442,0,19617
443,0,42883
444,0,8390
445,0,10660
446,0,10666
447,0,15142
448,0,11358
449,0,10677
450,0,9405
451,0,10183
452,0,13769
453,0,11244
454,0,12053
455,0,7704
456,0,8336
457,0,7638
458,0,7388
459,0,8344
460,0,6582
461,0,8743
462,0,7288
463,0,6422
464,0,8177
465,0,8121
466,0,7569
467,0,6755
468,0,8623
469,0,6471
470,0,7438
471,0,9171
472,0,7313
473,0,7107
474,0,7316
475,0,5616
476,0,8864
477,0,6985
478,0,7892
479,0,7587
480,0,53201
481,0,31102
482,0,13768
483,0,9148
484,0,9816
485,0,15822
486,0,15083
487,0,10407
488,0,8472
489,0,9908
490,0,50821
491,0,7876
492,0,6725
493,0,6341
494,0,8405
495,0,11314
496,0,7832
497,0,8877
498,0,5975
499,0,6736
500,0,45972
501,0,9771
502,0,7714
503,0,6292
504,0,7920
505,0,8201
506,0,7207
507,0,8225
508,0,7323
509,0,7440
510,0,9373
511,0,7130
512,0,18260
513,0,8049
514,0,7260
515,0,7025
516,0,11108
517,0,60190
518,0,5658
519,0,7511
520,0,6162
521,0,6383
522,0,7281
523,0,5401
524,0,6522
525,0,6462
526,0,7222
527,0,6628
528,0,8380
529,0,6201
530,0,6354
531,0,7156
532,0,6158
533,0,6844
534,0,6324
535,0,45997
536,0,6386
537,0,7247
538,0,8521
539,0,8766
540,0,6411
541,0,7869
542,0,8047
543,0,14083
544,0,10220
545,0,8174
546,0,8184
547,0,8208
548,0,7733
549,0,8403
550,0,10446
551,0,10426
552,0,12103
553,0,9960
554,0,13533
555,0,11045
556,0,10606
557,0,9674
558,0,36461
559,0,41584
560,0,9246
561,0,12808
562,0,8462
563,0,7223
564,0,7534
565,0,7966
566,0,6566
567,0,24251
568,0,9738
569,0,7298
570,0,8473
571,0,7805
572,0,7092
573,0,9290
574,0,45707
575,0,9447
576,0,7985
577,0,8719
578,0,6748
579,0,9621
580,0,7886
581,0,20174
582,0,7559
583,0,8184
584,0,19935
585,0,8557
586,0,7676
587,0,9271
588,0,6534
589,0,8117
590,0,18351
591,0,8382
592,0,8689
593,0,9566
594,0,8447
595,0,8702
596,0,9344
597,0,8050
598,0,7488
599,0,7943
600,0,6843
601,0,6123
602,0,9980
603,0,7331
604,0,9465
605,0,19728
606,0,9369
607,0,6794
608,0,20503
609,0,8385
610,0,8467
611,0,7178
612,0,7434
613,0,7236
614,0,8677
615,0,18510
616,0,8439
617,0,8545
618,0,8351
619,0,8313
620,0,7984
621,0,7856
622,0,8746
623,0,19151
624,0,9570
625,0,7830
626,0,7977
627,0,8105
628,0,9008
629,0,10420
630,0,18766
631,0,9574
632,0,8934
633,0,8661
634,0,7329
635,0,9175
636,0,15007
637,0,22904
638,0,9709
639,0,9576
640,0,7810
641,0,10241
642,0,7547
643,0,8432
644,0,9184
645,0,7350
646,0,34604
647,0,8678
648,0,40960
649,0,8188
650,0,8241
651,0,8170
652,0,7324
653,0,6323
654,0,55451
655,0,7560
656,0,9049
657,0,8931
658,0,8637
659,0,28498
660,0,8815
661,0,35327
662,0,13241
663,0,11669
664,0,11590
665,0,17576
666,0,12654
667,0,12150
668,0,34966
669,0,61203
670,0,12137
671,0,13252
672,0,13158
673,0,13980
674,0,10651
675,0,12187
676,0,11309
677,0,9934
678,0,11823
679,0,12268
680,0,49956
681,0,26836
682,0,50724
683,0,13248
684,0,50853
685,0,11615
686,0,15351
687,0,15891
688,0,12636
689,0,19238
690,0,22017
691,0,43385
692,0,47527
693,0,7407
694,0,9530
695,0,12158
696,0,8985
697,0,8413
698,0,10265
699,0,9148
700,0,9301
701,0,10514
702,0,8578
703,0,10200
704,0,7855
705,0,11828
706,0,9041
707,0,7491
708,0,10434
709,0,11118
710,0,18294
711,0,10682
712,0,8514
713,0,30079
714,0,9066
715,0,22353
716,0,19102
717,0,40573
718,0,7884
719,0,9267
720,0,44703
721,0,9499
722,0,9370
723,0,8307
724,0,8584
725,0,7548
726,0,19305
727,0,8272
728,0,14139
729,0,7169
730,0,9088
731,0,8807
732,0,14860
733,0,12485
734,0,11613
735,0,7831
736,0,7469
737,0,10298
738,0,9408
739,0,27549
740,0,22831
741,0,43898
742,0,8218
743,0,9888
744,0,9899
745,0,13108
746,0,11099
747,0,10060
748,0,13151
749,0,10770
750,0,12605
751,0,10246
752,0,11168
753,0,14534
754,0,13085
755,0,14033
756,0,12141
757,0,10616
758,0,11421
759,0,11620
760,0,12352
761,0,9150
762,0,9259
763,0,6902
764,0,9074
765,0,10454
766,0,49090
767,0,11257
768,0,10266
769,0,8017
770,0,10939
771,0,8416
772,0,9847
773,0,15283
774,0,10804
775,0,22046
776,0,8165
777,0,11486
778,0,9614
779,0,11482
780,0,20952
781,0,10452
782,0,8366
783,0,8668
784,0,9035
785,0,10152
786,0,36698
787,0,11681
788,0,10836
789,0,21783
790,0,7965
791,0,23023
792,0,9434
793,0,10513
794,0,7771
795,0,21704
796,0,10507
797,0,8491
798,0,11963
799,0,8622
800,0,19955
801,0,51074
802,0,9155
803,0,8432
804,0,7023
805,0,10223
806,0,9359
807,0,7674
808,0,9690
809,0,7876
810,0,8761
811,0,10059
812,0,8722
813,0,7418
814,0,8509
815,0,9810
816,0,9831
817,0,10701
818,0,9601
819,0,8414
820,0,7325
821,0,8383
822,0,8805
823,0,9412
824,0,7396
825,0,8996
826,0,7297
827,0,8097
828,0,9657
829,0,6854
830,0,10518
831,0,7458
832,0,9149
833,0,6488
834,0,7103
835,0,7186
836,0,8958
837,0,9249
838,0,7964
839,0,6945
840,0,8165
841,0,8932
842,0,8486
843,0,9645
844,0,8375
845,0,7864
846,0,8958
847,0,8242
848,0,8382
849,0,6809
850,0,9085
851,0,9149
852,0,9798
853,0,9111
854,0,10835
855,0,9075
856,0,9780
857,0,9839
858,0,7161
859,0,9242
860,0,9238
861,0,11137
862,0,8150
863,0,7584
864,0,53168
865,0,8085
866,0,8978
867,0,8372
868,0,11368
869,0,10244
870,0,10408
871,0,17091
872,0,7270
873,0,8665
874,0,7287
875,0,10151
876,0,11379
877,0,10487
878,0,10356
879,0,9162
880,0,12942
881,0,9958
882,0,9054
883,0,16892
884,0,14229
885,0,10727
886,0,9636
887,0,12039
888,0,9856
889,0,12163
890,0,9196
891,0,8527
892,0,10321
893,0,8283
894,0,11322
895,0,8849
896,0,15475
897,0,10316
898,0,13809
899,0,13064
900,0,9894
901,0,12241
902,0,9068
903,0,10124
904,0,13538
905,0,17260
906,0,26061
907,0,12162
908,0,12389
909,0,8201
910,0,12086
911,0,45901
912,0,22391
913,0,9764
914,0,10854
915,0,10923
916,0,11353
917,0,10630
918,0,11971
919,0,10105
920,0,9019
921,0,13183
922,0,9420
923,0,10505
924,0,22521
925,0,11464
926,0,14837
927,0,10422
928,0,13381
929,0,14664
930,0,17655
931,0,10397
932,0,8009
933,0,23351
934,0,10064
935,0,10437
936,0,11574
937,0,10028
938,0,10801
939,0,9196
940,0,23693
941,0,10587
942,0,10926
943,0,22525
944,0,9434
945,0,10450
946,0,10324
947,0,9808
948,0,11021
949,0,9094
950,0,31696
951,0,10189
952,0,10335
953,0,19447
954,0,42481
955,0,9992
956,0,7686
957,0,9492
958,0,7819
959,0,11100
960,0,8134
961,0,10164
962,0,8523
963,0,9345
964,0,7217
965,0,8392
966,0,10194
967,0,7773
968,0,10965
969,0,9208
970,0,10058
971,0,9408
972,0,7978
973,0,9044
974,0,8766
975,0,10591
976,0,8989
977,0,8366
978,0,8071
979,0,8302
980,0,9974
981,0,8314
982,0,8848
983,0,9876
984,0,9406
985,0,9640
986,0,7088
987,0,8785
988,0,8072
989,0,10501
990,0,8164
991,0,12209
992,0,8809
993,0,11016
994,0,12238
995,0,7483
996,0,8731
997,0,10440
998,0,9207
