Numero operacion, Valor, duracion
0,642763093,21683
1,827761011,2578
2,1766070586,2244
3,2092604409,2265
4,1664214027,2300
5,1766163390,2319
6,1904492549,2599
7,873137361,2859
8,1263384255,4570
9,1712047379,2575
10,0,4286
11,0,1611
12,0,1713
13,0,1686
14,0,1667
15,0,1753
16,0,1674
17,0,1695
18,0,1561
19,0,1619
20,0,1615
21,0,1578
22,0,1576
23,0,1545
24,0,1583
25,0,1590
26,0,1670
27,0,1665
28,0,1581
29,0,1729
30,0,1804
31,0,1708
32,0,1933
33,0,3528
34,0,1627
35,0,1665
36,0,1652
37,0,1667
38,0,1828
39,0,1648
40,0,1678
41,0,1877
42,0,3748
43,0,1650
44,0,1681
45,0,1641
46,0,1657
47,0,1827
48,0,1580
49,0,1645
50,0,1644
51,0,1686
52,0,1634
53,0,1697
54,0,1640
55,0,1582
56,0,1608
57,0,1627
58,0,1665
59,0,1814
60,0,3705
61,0,1669
62,0,1649
63,0,1644
64,0,1623
65,0,1896
66,0,1688
67,0,1667
68,0,1865
69,0,3716
70,0,1745
71,0,1706
72,0,1624
73,0,1718
74,0,1828
75,0,1567
76,0,1684
77,0,1669
78,0,1742
79,0,1685
80,0,1680
81,0,1687
82,0,1566
83,0,1628
84,0,1675
85,0,1889
86,0,1854
87,0,3528
88,0,1511
89,0,1523
90,0,1493
91,0,1502
92,0,1524
93,0,1641
94,0,1467
95,0,1549
96,0,1680
97,0,1628
98,0,1918
99,0,1750
100,0,1656
101,0,2011
102,0,3557
103,0,1653
104,0,1682
105,0,1651
106,0,1654
107,0,1836
108,0,1603
109,0,1656
110,0,1680
111,0,1668
112,0,1685
113,0,1685
114,0,1652
115,0,1608
116,0,1613
117,0,1709
118,0,1630
119,0,1846
120,0,1812
121,0,3582
122,0,1634
123,0,1691
124,0,1604
125,0,1575
126,0,1614
127,0,1817
128,0,1739
129,0,1040
130,0,920
131,0,931
132,0,935
133,0,900
134,0,916
135,0,904
136,0,907
137,0,942
138,0,925
139,0,917
140,0,907
141,0,907
142,0,929
143,0,901
144,0,920
145,0,907
146,0,929
147,0,1075
148,0,906
149,0,996
150,0,903
151,0,1064
152,0,934
153,0,905
154,0,902
155,0,922
156,0,924
157,0,905
158,0,903
159,0,930
160,0,906
161,0,923
162,0,904
163,0,901
164,0,910
165,0,912
166,0,927
167,0,909
168,0,900
169,0,918
170,0,904
171,0,898
172,0,923
173,0,897
174,0,904
175,0,898
176,0,899
177,0,908
178,0,933
179,0,897
180,0,899
181,0,925
182,0,902
183,0,901
184,0,903
185,0,913
186,0,901
187,0,918
188,0,913
189,0,908
190,0,910
191,0,900
192,0,901
193,0,909
194,0,905
195,0,902
196,0,927
197,0,904
198,0,907
199,0,907
200,0,900
201,0,934
202,0,904
203,0,901
204,0,908
205,0,907
206,0,902
207,0,902
208,0,902
209,0,920
210,0,903
211,0,929
212,0,912
213,0,897
214,0,919
215,0,906
216,0,903
217,0,922
218,0,902
219,0,906
220,0,902
221,0,908
222,0,901
223,0,921
224,0,903
225,0,903
226,0,915
227,0,909
228,0,911
229,0,926
230,0,899
231,0,922
232,0,899
233,0,906
234,0,902
235,0,898
236,0,903
237,0,916
238,0,900
239,0,922
240,0,899
241,0,905
242,0,923
243,0,903
244,0,900
245,0,898
246,0,922
247,0,898
248,0,900
249,0,1573
250,0,1654
251,0,1599
252,0,1623
253,0,1604
254,0,1608
255,0,1658
256,0,1880
257,0,1634
258,0,3460
259,0,1895
260,0,1814
261,0,1564
262,0,1579
263,0,1703
264,0,1645
265,0,1524
266,0,1618
267,0,1557
268,0,1624
269,0,1828
270,0,1679
271,0,3793
272,0,1711
273,0,1638
274,0,1599
275,0,1601
276,0,1575
277,0,1724
278,0,1434
279,0,983
280,0,919
281,0,922
282,0,922
283,0,920
284,0,911
285,0,932
286,0,920
287,0,913
288,0,920
289,0,919
290,0,933
291,0,951
292,0,918
293,0,927
294,0,910
295,0,915
296,0,911
297,0,910
298,0,943
299,0,926
300,0,938
301,0,917
302,0,909
303,0,964
304,0,913
305,0,934
306,0,911
307,0,917
308,0,941
309,0,918
310,0,919
311,0,934
312,0,915
313,0,938
314,0,913
315,0,910
316,0,914
317,0,913
318,0,933
319,0,912
320,0,920
321,0,918
322,0,936
323,0,918
324,0,917
325,0,945
326,0,911
327,0,921
328,0,934
329,0,942
330,0,933
331,0,927
332,0,927
333,0,936
334,0,1048
335,0,942
336,0,972
337,0,915
338,0,923
339,0,927
340,0,1019
341,0,1710
342,0,1579
343,0,1568
344,0,1598
345,0,1682
346,0,1636
347,0,1698
348,0,1633
349,0,1621
350,0,3602
351,0,1900
352,0,1650
353,0,1637
354,0,1707
355,0,1601
356,0,1558
357,0,1645
358,0,1605
359,0,1800
360,0,1679
361,0,3873
362,0,1699
363,0,1624
364,0,1588
365,0,1603
366,0,1598
367,0,1750
368,0,1301
369,0,925
370,0,913
371,0,906
372,0,901
373,0,904
374,0,924
375,0,910
376,0,922
377,0,910
378,0,921
379,0,927
380,0,908
381,0,900
382,0,905
383,0,897
384,0,903
385,0,896
386,0,923
387,0,908
388,0,903
389,0,942
390,0,903
391,0,938
392,0,902
393,0,900
394,0,929
395,0,901
396,0,901
397,0,920
398,0,908
399,0,900
400,0,919
401,0,925
402,0,896
403,0,930
404,0,912
405,0,908
406,0,923
407,0,916
408,0,908
409,0,905
410,0,908
411,0,930
412,0,906
413,0,913
414,0,903
415,0,900
416,0,943
417,0,905
418,0,926
419,0,909
420,0,899
421,0,895
422,0,900
423,0,936
424,0,903
425,0,896
426,0,899
427,0,892
428,0,923
429,0,910
430,0,907
431,0,907
432,0,928
433,0,904
434,0,903
435,0,962
436,0,929
437,0,910
438,0,915
439,0,903
440,0,910
441,0,929
442,0,903
443,0,936
444,0,906
445,0,922
446,0,904
447,0,901
448,0,902
449,0,902
450,0,898
451,0,889
452,0,910
453,0,903
454,0,900
455,0,895
456,0,898
457,0,918
458,0,914
459,0,899
460,0,903
461,0,925
462,0,913
463,0,899
464,0,899
465,0,925
466,0,907
467,0,903
468,0,906
469,0,928
470,0,904
471,0,904
472,0,1212
473,0,900
474,0,905
475,0,895
476,0,904
477,0,927
478,0,908
479,0,923
480,0,903
481,0,906
482,0,905
483,0,897
484,0,965
485,0,903
486,0,901
487,0,900
488,0,905
489,0,906
490,0,908
491,0,907
492,0,893
493,0,899
494,0,899
495,0,900
496,0,921
497,0,910
498,0,911
499,0,955
500,0,910
501,0,964
502,0,923
503,0,1060
504,0,908
505,0,908
506,0,913
507,0,952
508,0,903
509,0,900
510,0,904
511,0,900
512,0,946
513,0,899
514,0,899
515,0,901
516,0,899
517,0,894
518,0,937
519,0,894
520,0,903
521,0,903
522,0,907
523,0,908
524,0,930
525,0,906
526,0,921
527,0,903
528,0,907
529,0,903
530,0,983
531,0,930
532,0,912
533,0,903
534,0,915
535,0,906
536,0,907
537,0,1105
538,0,902
539,0,908
540,0,951
541,0,902
542,0,903
543,0,913
544,0,930
545,0,920
546,0,908
547,0,900
548,0,923
549,0,910
550,0,926
551,0,919
552,0,898
553,0,910
554,0,1053
555,0,903
556,0,901
557,0,924
558,0,910
559,0,1020
560,0,913
561,0,923
562,0,939
563,0,906
564,0,906
565,0,913
566,0,904
567,0,903
568,0,910
569,0,906
570,0,921
571,0,929
572,0,928
573,0,910
574,0,908
575,0,924
576,0,904
577,0,912
578,0,935
579,0,904
580,0,910
581,0,927
582,0,923
583,0,903
584,0,911
585,0,904
586,0,905
587,0,909
588,0,906
589,0,929
590,0,907
591,0,908
592,0,924
593,0,913
594,0,911
595,0,906
596,0,931
597,0,903
598,0,908
599,0,922
600,0,924
601,0,903
602,0,906
603,0,909
604,0,907
605,0,900
606,0,981
607,0,945
608,0,907
609,0,914
610,0,924
611,0,900
612,0,915
613,0,910
614,0,909
615,0,913
616,0,913
617,0,925
618,0,901
619,0,900
620,0,897
621,0,898
622,0,900
623,0,918
624,0,1070
625,0,911
626,0,912
627,0,908
628,0,925
629,0,911
630,0,908
631,0,925
632,0,910
633,0,970
634,0,918
635,0,907
636,0,934
637,0,901
638,0,910
639,0,906
640,0,924
641,0,902
642,0,911
643,0,932
644,0,907
645,0,911
646,0,913
647,0,899
648,0,904
649,0,927
650,0,906
651,0,904
652,0,902
653,0,905
654,0,962
655,0,912
656,0,931
657,0,907
658,0,934
659,0,1595
660,0,910
661,0,914
662,0,908
663,0,1087
664,0,913
665,0,905
666,0,949
667,0,907
668,0,928
669,0,912
670,0,913
671,0,901
672,0,908
673,0,915
674,0,912
675,0,928
676,0,954
677,0,918
678,0,902
679,0,1047
680,0,1158
681,0,959
682,0,928
683,0,907
684,0,905
685,0,908
686,0,1055
687,0,899
688,0,1225
689,0,1035
690,0,920
691,0,1083
692,0,912
693,0,901
694,0,1026
695,0,930
696,0,914
697,0,905
698,0,906
699,0,908
700,0,912
701,0,940
702,0,942
703,0,1133
704,0,913
705,0,905
706,0,921
707,0,908
708,0,915
709,0,911
710,0,922
711,0,901
712,0,903
713,0,910
714,0,1051
715,0,920
716,0,927
717,0,915
718,0,905
719,0,925
720,0,1137
721,0,1091
722,0,907
723,0,939
724,0,907
725,0,1550
726,0,911
727,0,913
728,0,907
729,0,924
730,0,988
731,0,911
732,0,927
733,0,913
734,0,901
735,0,904
736,0,928
737,0,915
738,0,912
739,0,915
740,0,920
741,0,903
742,0,2038
743,0,1596
744,0,1567
745,0,1652
746,0,1898
747,0,1585
748,0,1634
749,0,1536
750,0,1555
751,0,1596
752,0,1838
753,0,1934
754,0,1644
755,0,1505
756,0,1512
757,0,1875
758,0,1777
759,0,1578
760,0,1778
761,0,1526
762,0,1712
763,0,1496
764,0,1512
765,0,1460
766,0,1477
767,0,1486
768,0,1698
769,0,1716
770,0,1514
771,0,1490
772,0,1795
773,0,1570
774,0,1559
775,0,1520
776,0,1592
777,0,1603
778,0,19876
779,0,1536
780,0,1568
781,0,1618
782,0,1815
783,0,1514
784,0,1535
785,0,1521
786,0,1601
787,0,1613
788,0,1664
789,0,1517
790,0,1500
791,0,1512
792,0,1597
793,0,1610
794,0,1508
795,0,1499
796,0,1580
797,0,1557
798,0,1507
799,0,1582
800,0,1592
801,0,2112
802,0,1512
803,0,1517
804,0,1542
805,0,1543
806,0,1769
807,0,1521
808,0,1549
809,0,1559
810,0,1556
811,0,1491
812,0,1489
813,0,1495
814,0,1526
815,0,1574
816,0,1506
817,0,1533
818,0,1582
819,0,1517
820,0,1580
821,0,2240
822,0,1534
823,0,1509
824,0,1544
825,0,1635
826,0,1549
827,0,1784
828,0,1521
829,0,1557
830,0,1583
831,0,1677
832,0,1526
833,0,1533
834,0,1496
835,0,1597
836,0,1517
837,0,1508
838,0,1517
839,0,1531
840,0,1831
841,0,1596
842,0,1569
843,0,1967
844,0,1466
845,0,1703
846,0,1747
847,0,1647
848,0,1497
849,0,1486
850,0,1528
851,0,1517
852,0,1599
853,0,1492
854,0,1522
855,0,1531
856,0,1545
857,0,1662
858,0,1502
859,0,38593
860,0,1764
861,0,1702
862,0,1955
863,0,1577
864,0,1673
865,0,1600
866,0,1702
867,0,1673
868,0,1584
869,0,1630
870,0,1727
871,0,1751
872,0,1040
873,0,931
874,0,939
875,0,925
876,0,924
877,0,931
878,0,932
879,0,917
880,0,917
881,0,919
882,0,915
883,0,920
884,0,914
885,0,910
886,0,933
887,0,910
888,0,919
889,0,913
890,0,932
891,0,928
892,0,906
893,0,911
894,0,925
895,0,918
896,0,916
897,0,913
898,0,1691
899,0,1610
900,0,1620
901,0,1784
902,0,1566
903,0,1604
904,0,1675
905,0,1613
906,0,1644
907,0,1607
908,0,3827
909,0,1486
910,0,1485
911,0,1529
912,0,1577
913,0,1652
914,0,1790
915,0,1568
916,0,1577
917,0,1533
918,0,1563
919,0,1731
920,0,1563
921,0,1517
922,0,1548
923,0,1592
924,0,1646
925,0,1544
926,0,1618
927,0,1510
928,0,1524
929,0,1635
930,0,1549
931,0,1668
932,0,1779
933,0,1727
934,0,1634
935,0,1621
936,0,1578
937,0,1623
938,0,1839
939,0,1590
940,0,1558
941,0,2077
942,0,3499
943,0,1790
944,0,59117
945,0,99484
946,0,1788
947,0,1686
948,0,2727
949,0,1674
950,0,2053
951,0,1674
952,0,1868
953,0,1590
954,0,1612
955,0,1602
956,0,1642
957,0,1616
958,0,1556
959,0,1637
960,0,1538
961,0,1517
962,0,1630
963,0,1631
964,0,1582
965,0,1609
966,0,3628
967,0,1677
968,0,1636
969,0,1627
970,0,1795
971,0,1822
972,0,1578
973,0,1846
974,0,1764
975,0,1631
976,0,1682
977,0,1552
978,0,1504
979,0,1546
980,0,1720
981,0,1501
982,0,1571
983,0,1597
984,0,1759
985,0,1891
986,0,1560
987,0,1601
988,0,1549
989,0,1660
990,0,1605
991,0,1537
992,0,1652
993,0,1589
994,0,1597
995,0,1693
996,0,1774
997,0,1604
998,0,988
999,0,951
