Numero operacion, Valor, duracion
0,365762275,12766
1,425419569,1934
2,626480583,1794
3,76498057,1479
4,204020460,1846
5,1470927061,1624
6,816543262,3778
7,615404695,3637
8,287781736,1583
9,1864115174,1577
10,0,1335
11,0,1448
12,0,1187
13,0,1249
14,0,1162
15,0,1146
16,0,1186
17,0,1155
18,0,1208
19,0,1178
20,0,1219
21,0,1184
22,0,1168
23,0,1226
24,0,1182
25,0,3083
26,0,1212
27,0,1267
28,0,1188
29,0,1147
30,0,1227
31,0,1232
32,0,1402
33,0,1255
34,0,3190
35,0,1367
36,0,1198
37,0,1162
38,0,1180
39,0,1151
40,0,1134
41,0,1155
42,0,1279
43,0,1310
44,0,798
45,0,687
46,0,692
47,0,705
48,0,690
49,0,694
50,0,684
51,0,672
52,0,707
53,0,677
54,0,675
55,0,684
56,0,701
57,0,683
58,0,1367
59,0,1210
60,0,1166
61,0,1173
62,0,1151
63,0,1136
64,0,1158
65,0,1164
66,0,1209
67,0,1177
68,0,1176
69,0,1206
70,0,3180
71,0,1231
72,0,1346
73,0,1182
74,0,1163
75,0,1255
76,0,1438
77,0,1169
78,0,1472
79,0,1422
80,0,1204
81,0,1206
82,0,1175
83,0,1147
84,0,1161
85,0,1146
86,0,1297
87,0,1260
88,0,777
89,0,695
90,0,1208
91,0,1147
92,0,1177
93,0,1185
94,0,1161
95,0,1150
96,0,1159
97,0,1158
98,0,1202
99,0,1168
100,0,1211
101,0,1217
102,0,3150
103,0,1281
104,0,1344
105,0,1173
106,0,1176
107,0,1191
108,0,1166
109,0,1267
110,0,1360
111,0,3183
112,0,1188
113,0,1250
114,0,1188
115,0,1176
116,0,1203
117,0,1153
118,0,1306
119,0,1294
120,0,853
121,0,689
122,0,680
123,0,682
124,0,714
125,0,683
126,0,691
127,0,683
128,0,685
129,0,691
130,0,687
131,0,708
132,0,708
133,0,682
134,0,688
135,0,689
136,0,688
137,0,1055
138,0,1163
139,0,1151
140,0,1191
141,0,1143
142,0,1181
143,0,1162
144,0,1164
145,0,1402
146,0,1205
147,0,1168
148,0,1180
149,0,3105
150,0,1214
151,0,1357
152,0,1182
153,0,1193
154,0,1172
155,0,1208
156,0,1354
157,0,1181
158,0,3100
159,0,1274
160,0,1200
161,0,1148
162,0,1158
163,0,1154
164,0,1187
165,0,1303
166,0,1180
167,0,1154
168,0,710
169,0,682
170,0,671
171,0,677
172,0,679
173,0,705
174,0,681
175,0,677
176,0,679
177,0,672
178,0,679
179,0,669
180,0,676
181,0,676
182,0,679
183,0,671
184,0,674
185,0,700
186,0,669
187,0,665
188,0,682
189,0,669
190,0,667
191,0,673
192,0,677
193,0,677
194,0,688
195,0,668
196,0,667
197,0,708
198,0,677
199,0,677
200,0,677
201,0,672
202,0,672
203,0,682
204,0,679
205,0,670
206,0,677
207,0,673
208,0,674
209,0,703
210,0,681
211,0,1248
212,0,1209
213,0,1181
214,0,1160
215,0,1154
216,0,1175
217,0,1160
218,0,1140
219,0,1252
220,0,1159
221,0,1165
222,0,1175
223,0,3154
224,0,1240
225,0,1348
226,0,1144
227,0,1229
228,0,1147
229,0,1194
230,0,1217
231,0,1108
232,0,1122
233,0,1191
234,0,1402
235,0,1248
236,0,3092
237,0,1464
238,0,1159
239,0,1198
240,0,1233
241,0,1222
242,0,1190
243,0,1199
244,0,1187
245,0,1158
246,0,1170
247,0,1172
248,0,1148
249,0,1205
250,0,1392
251,0,1198
252,0,3342
253,0,1269
254,0,1215
255,0,1167
256,0,1158
257,0,1149
258,0,1163
259,0,1156
260,0,1349
261,0,1302
262,0,826
263,0,691
264,0,687
265,0,685
266,0,701
267,0,685
268,0,691
269,0,694
270,0,690
271,0,710
272,0,687
273,0,682
274,0,688
275,0,695
276,0,679
277,0,686
278,0,857
279,0,1250
280,0,1193
281,0,1223
282,0,1353
283,0,1168
284,0,1160
285,0,1172
286,0,1177
287,0,1211
288,0,1196
289,0,1172
290,0,1163
291,0,1507
292,0,1202
293,0,1347
294,0,1147
295,0,1163
296,0,1172
297,0,1222
298,0,1429
299,0,1213
300,0,5718
301,0,1508
302,0,3277
303,0,1104
304,0,1097
305,0,1104
306,0,1144
307,0,1172
308,0,1136
309,0,1115
310,0,1105
311,0,1122
312,0,1103
313,0,1161
314,0,1159
315,0,1198
316,0,1155
317,0,1137
318,0,1139
319,0,1159
320,0,1301
321,0,1149
322,0,819
323,0,712
324,0,673
325,0,681
326,0,675
327,0,677
328,0,682
329,0,670
330,0,671
331,0,672
332,0,675
333,0,672
334,0,682
335,0,672
336,0,677
337,0,679
338,0,679
339,0,679
340,0,683
341,0,679
342,0,674
343,0,682
344,0,680
345,0,673
346,0,675
347,0,677
348,0,679
349,0,679
350,0,674
351,0,676
352,0,702
353,0,679
354,0,674
355,0,676
356,0,681
357,0,674
358,0,677
359,0,674
360,0,675
361,0,676
362,0,673
363,0,675
364,0,675
365,0,700
366,0,669
367,0,673
368,0,680
369,0,672
370,0,677
371,0,679
372,0,683
373,0,674
374,0,676
375,0,671
376,0,697
377,0,679
378,0,674
379,0,677
380,0,682
381,0,677
382,0,673
383,0,678
384,0,669
385,0,681
386,0,677
387,0,672
388,0,679
389,0,684
390,0,677
391,0,680
392,0,675
393,0,673
394,0,675
395,0,670
396,0,693
397,0,671
398,0,671
399,0,678
400,0,667
401,0,665
402,0,667
403,0,675
404,0,674
405,0,670
406,0,683
407,0,679
408,0,677
409,0,677
410,0,669
411,0,675
412,0,682
413,0,671
414,0,671
415,0,662
416,0,679
417,0,673
418,0,672
419,0,672
420,0,698
421,0,679
422,0,674
423,0,675
424,0,674
425,0,674
426,0,838
427,0,677
428,0,677
429,0,675
430,0,683
431,0,679
432,0,677
433,0,680
434,0,672
435,0,681
436,0,680
437,0,682
438,0,674
439,0,682
440,0,675
441,0,672
442,0,681
443,0,670
444,0,673
445,0,672
446,0,702
447,0,681
448,0,684
449,0,676
450,0,702
451,0,672
452,0,682
453,0,673
454,0,682
455,0,675
456,0,673
457,0,824
458,0,677
459,0,664
460,0,662
461,0,676
462,0,667
463,0,660
464,0,663
465,0,659
466,0,659
467,0,664
468,0,661
469,0,665
470,0,665
471,0,662
472,0,659
473,0,666
474,0,664
475,0,656
476,0,660
477,0,685
478,0,665
479,0,669
480,0,663
481,0,664
482,0,660
483,0,667
484,0,661
485,0,658
486,0,662
487,0,4233
488,0,663
489,0,659
490,0,660
491,0,655
492,0,663
493,0,656
494,0,664
495,0,664
496,0,657
497,0,660
498,0,662
499,0,660
500,0,661
501,0,665
502,0,667
503,0,711
504,0,684
505,0,689
506,0,682
507,0,693
508,0,688
509,0,686
510,0,687
511,0,687
512,0,685
513,0,685
514,0,688
515,0,713
516,0,755
517,0,689
518,0,684
519,0,687
520,0,689
521,0,690
522,0,685
523,0,696
524,0,681
525,0,683
526,0,683
527,0,704
528,0,683
529,0,684
530,0,715
531,0,684
532,0,687
533,0,691
534,0,684
535,0,684
536,0,688
537,0,684
538,0,690
539,0,686
540,0,699
541,0,712
542,0,731
543,0,687
544,0,710
545,0,696
546,0,686
547,0,688
548,0,690
549,0,683
550,0,682
551,0,686
552,0,684
553,0,684
554,0,690
555,0,683
556,0,711
557,0,692
558,0,688
559,0,685
560,0,689
561,0,682
562,0,684
563,0,682
564,0,682
565,0,685
566,0,684
567,0,707
568,0,688
569,0,688
570,0,681
571,0,683
572,0,678
573,0,690
574,0,687
575,0,684
576,0,693
577,0,682
578,0,701
579,0,680
580,0,741
581,0,689
582,0,694
583,0,692
584,0,683
585,0,694
586,0,686
587,0,687
588,0,688
589,0,692
590,0,690
591,0,712
592,0,683
593,0,685
594,0,684
595,0,685
596,0,683
597,0,689
598,0,683
599,0,695
600,0,694
601,0,684
602,0,688
603,0,708
604,0,685
605,0,687
606,0,679
607,0,696
608,0,684
609,0,683
610,0,682
611,0,683
612,0,683
613,0,684
614,0,686
615,0,708
616,0,687
617,0,682
618,0,682
619,0,688
620,0,681
621,0,692
622,0,685
623,0,690
624,0,687
625,0,687
626,0,706
627,0,684
628,0,689
629,0,689
630,0,682
631,0,690
632,0,682
633,0,679
634,0,688
635,0,679
636,0,681
637,0,717
638,0,689
639,0,682
640,0,680
641,0,684
642,0,688
643,0,685
644,0,692
645,0,687
646,0,687
647,0,689
648,0,689
649,0,703
650,0,682
651,0,689
652,0,679
653,0,845
654,0,691
655,0,690
656,0,684
657,0,686
658,0,684
659,0,688
660,0,684
661,0,687
662,0,687
663,0,682
664,0,716
665,0,691
666,0,714
667,0,709
668,0,689
669,0,690
670,0,696
671,0,685
672,0,688
673,0,710
674,0,1126
675,0,1237
676,0,1196
677,0,1213
678,0,1140
679,0,1154
680,0,1138
681,0,1156
682,0,1151
683,0,1183
684,0,1184
685,0,1157
686,0,3092
687,0,1262
688,0,1774
689,0,1358
690,0,1144
691,0,1271
692,0,2245
693,0,16561
694,0,1378
695,0,2101
696,0,1258
697,0,1189
698,0,1168
699,0,1218
700,0,1178
701,0,1424
702,0,1229
703,0,762
704,0,670
705,0,662
706,0,825
707,0,658
708,0,682
709,0,684
710,0,663
711,0,656
712,0,697
713,0,658
714,0,660
715,0,671
716,0,659
717,0,663
718,0,691
719,0,667
