Numero operacion, Valor, duracion
0,568039397,5090
1,1408361781,665
2,1776742026,351
3,1149269545,643
4,795654197,384
5,673652955,342
6,1176986773,572
7,1966541815,339
8,1164721317,338
9,1322828066,642
10,0,380
11,0,386
12,0,2691
13,0,364
14,0,318
15,0,296
16,0,301
17,0,421
18,0,352
19,0,360
20,0,310
21,0,324
22,0,311
23,0,436
24,0,358
25,0,2915
26,0,400
27,0,382
28,0,374
29,0,359
30,0,324
31,0,349
32,0,324
33,0,286
34,0,488
35,0,374
36,0,355
37,0,316
38,0,318
39,0,300
40,0,291
41,0,291
42,0,307
43,0,291
44,0,286
45,0,589
46,0,288
47,0,306
48,0,288
49,0,324
50,0,329
51,0,3477
52,0,373
53,0,363
54,0,308
55,0,296
56,0,314
57,0,308
58,0,290
59,0,295
60,0,288
61,0,301
62,0,297
63,0,286
64,0,299
65,0,394
66,0,302
67,0,358
68,0,312
69,0,743
70,0,349
71,0,372
72,0,339
73,0,350
74,0,333
75,0,384
76,0,2104
77,0,382
78,0,394
79,0,368
80,0,335
81,0,304
82,0,297
83,0,399
84,0,328
85,0,303
86,0,288
87,0,296
88,0,291
89,0,288
90,0,294
91,0,291
92,0,279
93,0,296
94,0,276
95,0,275
96,0,293
97,0,368
98,0,296
99,0,302
100,0,290
101,0,338
102,0,4881
103,0,858
104,0,298
105,0,353
106,0,369
107,0,345
108,0,348
109,0,344
110,0,334
111,0,331
112,0,317
113,0,398
114,0,286
115,0,339
116,0,521
117,0,446
118,0,336
119,0,356
120,0,333
121,0,350
122,0,370
123,0,321
124,0,282
125,0,307
126,0,309
127,0,351
128,0,307
129,0,338
130,0,291
131,0,357
132,0,342
133,0,329
134,0,292
135,0,323
136,0,302
137,0,292
138,0,363
139,0,335
140,0,416
141,0,377
142,0,312
143,0,304
144,0,441
145,0,358
146,0,306
147,0,2133
148,0,309
149,0,284
150,0,291
151,0,285
152,0,276
153,0,278
154,0,279
155,0,286
156,0,301
157,0,293
158,0,283
159,0,332
160,0,328
161,0,298
162,0,480
163,0,304
164,0,316
165,0,480
166,0,386
167,0,328
168,0,340
169,0,326
170,0,351
171,0,296
172,0,342
173,0,516
174,0,306
175,0,326
176,0,302
177,0,396
178,0,360
179,0,361
180,0,362
181,0,322
182,0,360
183,0,470
184,0,293
185,0,288
186,0,288
187,0,289
188,0,296
189,0,288
190,0,332
191,0,320
192,0,400
193,0,318
194,0,600
195,0,566
196,0,274
197,0,287
198,0,287
199,0,291
200,0,274
201,0,318
202,0,299
203,0,283
204,0,9414
205,0,388
206,0,291
207,0,309
208,0,307
209,0,280
210,0,272
211,0,281
212,0,285
213,0,287
214,0,296
215,0,282
216,0,279
217,0,298
218,0,347
219,0,278
220,0,285
221,0,278
222,0,280
223,0,296
224,0,295
225,0,313
226,0,495
227,0,311
228,0,271
229,0,285
230,0,304
231,0,318
232,0,296
233,0,340
234,0,279
235,0,288
236,0,325
237,0,298
238,0,277
239,0,293
240,0,276
241,0,278
242,0,295
243,0,277
244,0,311
245,0,335
246,0,319
247,0,346
248,0,349
249,0,482
250,0,283
251,0,288
252,0,296
253,0,322
254,0,340
255,0,312
256,0,488
257,0,330
258,0,292
259,0,2170
260,0,293
261,0,295
262,0,357
263,0,326
264,0,379
265,0,345
266,0,379
267,0,344
268,0,300
269,0,291
270,0,385
271,0,283
272,0,383
273,0,337
274,0,517
275,0,368
276,0,338
277,0,293
278,0,309
279,0,300
280,0,293
281,0,278
282,0,293
283,0,297
284,0,320
285,0,299
286,0,283
287,0,359
288,0,369
289,0,350
290,0,308
291,0,316
292,0,275
293,0,281
294,0,293
295,0,309
296,0,297
297,0,278
298,0,377
299,0,287
300,0,273
301,0,299
302,0,283
303,0,278
304,0,368
305,0,328
306,0,311
307,0,295
308,0,312
309,0,296
310,0,340
311,0,283
312,0,293
313,0,295
314,0,290
315,0,277
316,0,303
317,0,326
318,0,316
319,0,331
320,0,312
321,0,299
322,0,312
323,0,269
324,0,314
325,0,388
326,0,315
327,0,478
328,0,325
329,0,332
330,0,279
331,0,272
332,0,314
333,0,281
334,0,338
335,0,344
336,0,399
337,0,315
338,0,350
339,0,352
340,0,1157
341,0,356
342,0,320
343,0,276
344,0,303
345,0,389
346,0,332
347,0,351
348,0,274
349,0,272
350,0,475
351,0,279
352,0,332
353,0,353
354,0,363
355,0,335
356,0,318
357,0,290
358,0,315
359,0,277
360,0,317
361,0,293
362,0,403
363,0,278
364,0,293
365,0,288
366,0,290
367,0,269
368,0,300
369,0,305
370,0,351
371,0,371
372,0,359
373,0,365
374,0,399
375,0,347
376,0,363
377,0,367
378,0,391
379,0,372
380,0,359
381,0,378
382,0,371
383,0,364
384,0,366
385,0,348
386,0,374
387,0,508
388,0,602
389,0,356
390,0,357
391,0,380
392,0,314
393,0,341
394,0,359
395,0,276
396,0,352
397,0,307
398,0,300
399,0,290
400,0,686
401,0,302
402,0,477
403,0,467
404,0,565
405,0,444
406,0,363
407,0,319
408,0,354
409,0,8291
410,0,371
411,0,361
412,0,361
413,0,347
414,0,351
415,0,355
416,0,349
417,0,345
418,0,358
419,0,357
420,0,350
421,0,355
422,0,361
423,0,370
424,0,369
425,0,363
426,0,350
427,0,339
428,0,354
429,0,367
430,0,357
431,0,374
432,0,358
433,0,356
434,0,366
435,0,361
436,0,343
437,0,345
438,0,344
439,0,343
440,0,360
441,0,342
442,0,343
443,0,352
444,0,350
445,0,352
446,0,348
447,0,351
448,0,353
449,0,394
450,0,344
451,0,345
452,0,346
453,0,352
454,0,355
455,0,345
456,0,358
457,0,429
458,0,358
459,0,347
460,0,360
461,0,363
462,0,363
463,0,1540
464,0,363
465,0,350
466,0,356
467,0,354
468,0,346
469,0,352
470,0,348
471,0,368
472,0,353
473,0,349
474,0,383
475,0,347
476,0,345
477,0,356
478,0,346
479,0,356
480,0,396
481,0,350
482,0,337
483,0,347
484,0,309
485,0,358
486,0,289
487,0,371
488,0,310
489,0,297
490,0,292
491,0,288
492,0,291
493,0,313
494,0,355
495,0,290
496,0,320
497,0,303
498,0,295
499,0,316
500,0,309
501,0,332
502,0,324
503,0,767
504,0,280
505,0,331
506,0,309
507,0,286
508,0,339
509,0,356
510,0,355
511,0,357
512,0,369
513,0,380
514,0,359
515,0,343
516,0,427
517,0,371
518,0,398
519,0,373
520,0,410
521,0,389
522,0,382
523,0,382
524,0,390
525,0,385
526,0,376
527,0,382
528,0,370
529,0,297
530,0,353
531,0,339
532,0,384
533,0,448
534,0,457
535,0,451
536,0,469
537,0,353
538,0,283
539,0,274
540,0,288
541,0,376
542,0,293
543,0,277
544,0,286
545,0,297
546,0,283
547,0,274
548,0,267
549,0,275
550,0,364
551,0,447
552,0,437
553,0,414
554,0,286
555,0,279
556,0,287
557,0,286
558,0,281
559,0,400
560,0,271
561,0,295
562,0,273
563,0,272
564,0,279
565,0,298
566,0,1436
567,0,344
568,0,344
569,0,339
570,0,351
571,0,351
572,0,358
573,0,361
574,0,365
575,0,347
576,0,338
577,0,345
578,0,342
579,0,345
580,0,351
581,0,348
582,0,344
583,0,348
584,0,336
585,0,342
586,0,343
587,0,340
588,0,350
589,0,371
590,0,370
591,0,363
592,0,340
593,0,357
594,0,358
595,0,347
596,0,385
597,0,364
598,0,346
599,0,363
600,0,368
601,0,346
602,0,344
603,0,388
604,0,392
605,0,361
606,0,359
607,0,359
608,0,350
609,0,361
610,0,352
611,0,347
612,0,365
613,0,348
614,0,345
615,0,344
616,0,360
617,0,350
618,0,358
619,0,362
620,0,372
621,0,383
622,0,368
623,0,353
624,0,355
625,0,360
626,0,342
627,0,361
628,0,351
629,0,338
630,0,363
631,0,361
632,0,347
633,0,341
634,0,342
635,0,366
636,0,361
637,0,354
638,0,349
639,0,358
640,0,357
641,0,365
642,0,357
643,0,342
644,0,350
645,0,352
646,0,366
647,0,354
648,0,358
649,0,344
650,0,334
651,0,367
652,0,352
653,0,352
654,0,367
655,0,412
656,0,356
657,0,380
658,0,356
659,0,421
660,0,376
661,0,405
662,0,388
663,0,368
664,0,368
665,0,373
666,0,391
667,0,370
668,0,1454
669,0,386
670,0,372
671,0,391
672,0,360
673,0,449
674,0,365
675,0,365
676,0,412
677,0,443
678,0,434
679,0,448
680,0,429
681,0,435
682,0,455
683,0,401
684,0,300
685,0,277
686,0,275
687,0,277
688,0,290
689,0,275
690,0,288
691,0,281
692,0,347
693,0,462
694,0,378
695,0,387
696,0,310
697,0,320
698,0,288
699,0,285
700,0,342
701,0,347
702,0,347
703,0,347
704,0,365
705,0,338
706,0,271
707,0,276
708,0,286
709,0,273
710,0,288
711,0,286
712,0,304
713,0,376
714,0,339
715,0,345
716,0,351
717,0,358
718,0,370
719,0,377
720,0,338
721,0,351
722,0,380
723,0,359
724,0,358
725,0,366
726,0,352
727,0,380
728,0,373
729,0,378
730,0,354
731,0,360
732,0,365
733,0,355
734,0,359
735,0,369
736,0,316
737,0,355
738,0,304
739,0,347
740,0,321
741,0,341
742,0,372
743,0,356
744,0,355
745,0,366
746,0,370
747,0,358
748,0,373
749,0,371
750,0,369
751,0,367
752,0,366
753,0,379
754,0,364
755,0,363
756,0,361
757,0,352
758,0,360
759,0,376
760,0,366
761,0,359
762,0,356
763,0,359
764,0,371
765,0,383
766,0,377
767,0,363
768,0,359
769,0,355
770,0,335
771,0,368
772,0,321
773,0,338
774,0,302
775,0,351
776,0,343
777,0,358
778,0,354
779,0,349
780,0,356
781,0,359
782,0,354
783,0,347
784,0,365
785,0,347
786,0,350
787,0,365
788,0,353
789,0,353
790,0,368
791,0,365
792,0,343
793,0,347
794,0,346
795,0,345
796,0,350
797,0,355
798,0,350
799,0,364
800,0,344
801,0,356
802,0,357
803,0,349
804,0,361
805,0,359
806,0,353
807,0,367
808,0,362
809,0,335
810,0,356
