Numero operacion, Valor, duracion
0,0,630
1,1,490
2,2,448
3,3,495
4,4,480
5,5,1372
6,6,625
7,7,613
8,8,645
9,9,658
10,10,5431
11,11,864
12,12,856
13,13,937
14,14,999
15,15,1118
16,16,1166
17,17,1228
18,18,1328
19,19,3686
20,20,1470
21,21,1557
22,22,1639
23,23,1708
24,24,4357
25,25,1901
26,26,1981
27,27,2046
28,28,2144
29,29,4708
30,30,2278
31,31,2420
32,32,2587
33,33,6933
34,34,3688
35,35,3817
36,36,7280
37,37,4367
38,38,4245
39,39,4406
40,40,8222
41,41,31338
42,42,1720
43,43,3010
44,44,1652
45,45,1882
46,46,2790
47,47,1695
48,48,2820
49,49,2477
50,50,1882
51,51,5394
52,52,1869
53,53,3104
54,54,2376
55,55,1999
56,56,5349
57,57,2727
58,58,3765
59,59,2481
60,60,3869
61,61,2253
62,62,3521
63,63,2645
64,64,6071
65,65,2535
66,66,3854
67,67,2867
68,68,4290
69,69,3195
70,70,4428
71,71,4738
72,72,3476
73,73,5336
74,74,3630
75,75,5603
76,76,6248
77,77,5197
78,78,6129
79,79,3006
80,80,14211
81,81,4479
82,82,3463
83,83,4837
84,84,4698
85,85,3634
86,86,3363
87,87,3350
88,88,2391
89,89,3488
90,90,3472
91,91,2502
92,92,3498
93,93,3524
94,94,3565
95,95,2573
96,96,3578
97,97,3604
98,98,3637
99,99,2701
100,100,4983
101,101,3866
102,102,3773
103,103,4096
104,104,2907
105,105,4060
106,106,7360
107,107,5056
108,108,4220
109,109,4040
110,110,4050
111,111,3060
112,112,4024
113,113,4694
114,114,4276
115,115,4515
116,116,4176
117,117,5207
118,118,4176
119,119,4225
120,120,4198
121,121,4298
122,122,4371
123,123,4375
124,124,4373
125,125,4663
126,126,4564
127,127,5734
128,128,4703
129,129,4715
130,130,4841
131,131,5617
132,132,4687
133,133,4626
134,134,4707
135,135,4802
136,136,4872
137,137,4678
138,138,4891
139,139,5385
140,140,4751
141,141,5371
142,142,4797
143,143,14295
144,144,5042
145,145,6096
146,146,4913
147,147,5013
148,148,4934
149,149,5158
150,150,5875
151,151,10458
152,152,5271
153,153,5124
