Numero operacion, Valor, duracion
0,0,3125
1,1,485
2,2,335
3,3,208
4,4,234
5,5,202
6,6,219
7,7,232
8,8,184
9,9,205
10,10,206
11,11,241
12,12,225
13,13,232
14,14,242
15,15,222
16,16,214
17,17,233
18,18,1764
19,19,325
20,20,225
21,21,265
22,22,286
23,23,234
24,24,217
25,25,241
26,26,230
27,27,213
28,28,213
29,29,222
30,30,244
31,31,222
32,32,218
33,33,234
34,34,220
35,35,220
36,36,216
37,37,255
38,38,236
39,39,217
40,40,238
41,41,243
42,42,215
43,43,216
44,44,219
45,45,255
46,46,245
47,47,231
48,48,229
49,49,250
50,50,228
51,51,231
52,52,226
53,53,287
54,54,246
55,55,229
56,56,228
57,57,247
58,58,231
59,59,231
60,60,226
61,61,252
62,62,258
63,63,241
64,64,233
65,65,254
66,66,234
67,67,240
68,68,231
69,69,260
70,70,236
71,71,250
72,72,238
73,73,253
74,74,233
75,75,238
76,76,234
77,77,284
78,78,250
79,79,238
80,80,237
81,81,252
82,82,229
83,83,251
84,84,234
85,85,265
86,86,231
87,87,238
88,88,236
89,89,254
90,90,238
91,91,254
92,92,234
93,93,283
94,94,290
95,95,247
96,96,241
97,97,260
98,98,241
99,99,243
100,100,242
101,101,272
102,102,241
103,103,1194
104,104,450
105,105,362
106,106,304
107,107,332
108,108,311
109,109,516
110,110,328
111,111,319
112,112,309
113,113,325
114,114,300
115,115,317
116,116,300
117,117,335
118,118,297
119,119,327
120,120,288
121,121,321
122,122,311
123,123,310
124,124,300
125,125,343
126,126,337
127,127,311
128,128,329
129,129,331
130,130,310
131,131,335
132,132,347
133,133,344
134,134,306
135,135,321
136,136,308
137,137,330
138,138,328
139,139,328
140,140,322
141,141,357
142,142,310
143,143,317
144,144,511
145,145,335
146,146,312
147,147,347
148,148,305
149,149,444
150,150,343
151,151,326
152,152,523
153,153,536
154,154,421
155,155,524
156,156,429
157,157,523
158,158,521
159,159,449
160,160,457
161,161,457
162,162,458
163,163,452
164,164,480
165,165,511
166,166,453
167,167,461
168,168,491
169,169,493
170,170,471
171,171,477
172,172,437
173,173,491
174,174,486
175,175,490
176,176,477
177,177,464
178,178,397
179,179,512
180,180,469
181,181,452
182,182,435
183,183,477
184,184,487
185,185,491
186,186,417
187,187,474
188,188,467
189,189,4115
190,190,764
191,191,441
192,192,492
193,193,509
194,194,478
195,195,745
196,196,456
197,197,540
198,198,421
199,199,454
200,200,436
201,201,491
202,202,449
203,203,460
204,204,427
205,205,584
206,206,486
207,207,499
208,208,437
209,209,500
210,210,477
211,211,451
212,212,424
213,213,495
214,214,435
215,215,447
216,216,443
217,217,500
218,218,441
219,219,446
220,220,425
221,221,538
222,222,420
223,223,503
224,224,436
225,225,473
226,226,413
227,227,469
228,228,455
229,229,464
230,230,420
231,231,456
232,232,422
233,233,448
234,234,431
235,235,451
236,236,458
237,237,486
238,238,419
239,239,479
240,240,424
241,241,449
242,242,415
243,243,452
244,244,435
245,245,462
246,246,503
247,247,496
248,248,427
249,249,469
250,250,427
251,251,466
252,252,413
253,253,497
254,254,457
255,255,481
256,256,463
257,257,478
258,258,434
259,259,469
260,260,434
261,261,480
262,262,448
263,263,512
264,264,476
265,265,507
266,266,435
267,267,479
268,268,541
269,269,494
270,270,436
271,271,486
272,272,467
273,273,473
274,274,3073
275,275,519
276,276,538
277,277,491
278,278,460
279,279,474
280,280,479
281,281,481
282,282,486
283,283,472
284,284,483
285,285,492
286,286,497
287,287,490
288,288,455
289,289,476
290,290,455
291,291,457
292,292,478
293,293,493
294,294,488
295,295,481
296,296,469
297,297,486
298,298,457
299,299,469
300,300,492
301,301,505
302,302,456
303,303,596
304,304,557
305,305,786
306,306,471
307,307,475
308,308,477
309,309,476
310,310,474
311,311,469
312,312,457
313,313,495
314,314,460
315,315,482
316,316,472
317,317,521
318,318,466
319,319,462
320,320,453
321,321,468
322,322,565
323,323,482
324,324,456
325,325,2853
326,326,457
327,327,472
328,328,449
329,329,455
330,330,450
331,331,470
332,332,462
333,333,467
334,334,447
335,335,479
336,336,462
337,337,457
338,338,454
339,339,457
340,340,462
341,341,466
342,342,452
343,343,455
344,344,526
345,345,486
346,346,2139
347,347,467
348,348,476
349,349,493
350,350,458
351,351,466
352,352,462
353,353,474
354,354,460
355,355,464
356,356,469
357,357,473
358,358,576
359,359,1877
360,360,641
361,361,489
362,362,483
363,363,559
364,364,451
365,365,492
366,366,461
367,367,479
368,368,481
369,369,504
370,370,468
371,371,477
372,372,500
373,373,544
374,374,476
375,375,517
376,376,476
377,377,512
378,378,451
379,379,485
380,380,471
381,381,543
382,382,502
383,383,545
384,384,622
385,385,695
386,386,528
387,387,519
388,388,479
389,389,520
390,390,470
391,391,538
392,392,542
393,393,507
394,394,500
395,395,516
396,396,478
397,397,505
398,398,481
399,399,510
400,400,537
401,401,517
402,402,931
403,403,925
404,404,548
405,405,526
406,406,787
407,407,547
408,408,505
409,409,594
410,410,494
411,411,703
412,412,482
413,413,545
414,414,493
415,415,494
416,416,484
417,417,525
418,418,475
419,419,507
420,420,481
421,421,650
422,422,545
423,423,519
424,424,488
425,425,504
426,426,807
427,427,498
428,428,510
429,429,532
430,430,890
431,431,724
432,432,517
433,433,528
434,434,485
435,435,488
436,436,501
437,437,513
438,438,478
439,439,504
440,440,497
441,441,521
442,442,577
443,443,553
444,444,518
445,445,2111
446,446,502
447,447,729
448,448,473
449,449,495
450,450,454
451,451,642
452,452,472
453,453,535
454,454,493
455,455,507
456,456,492
457,457,679
458,458,462
459,459,495
460,460,457
461,461,581
462,462,460
463,463,570
464,464,542
465,465,495
466,466,493
467,467,524
468,468,513
469,469,510
470,470,473
471,471,532
472,472,498
473,473,515
474,474,666
475,475,709
476,476,486
477,477,618
478,478,483
479,479,500
480,480,471
481,481,535
482,482,464
483,483,494
484,484,842
485,485,558
486,486,483
487,487,492
488,488,469
489,489,529
490,490,474
491,491,487
492,492,708
493,493,513
494,494,636
495,495,515
496,496,481
497,497,540
498,498,484
499,499,502
500,500,473
501,501,562
502,502,501
503,503,649
504,504,487
505,505,514
506,506,524
507,507,515
508,508,521
509,509,571
510,510,561
511,511,1551
512,512,572
513,513,566
514,514,529
515,515,680
516,516,540
517,517,757
518,518,531
519,519,1302
520,520,526
521,521,599
522,522,564
523,523,583
524,524,547
525,525,586
526,526,552
527,527,597
528,528,521
529,529,561
530,530,2282
531,531,594
532,532,537
533,533,589
534,534,775
535,535,512
536,536,528
537,537,685
538,538,376
539,539,338
540,540,390
541,541,468
542,542,468
543,543,330
544,544,316
545,545,338
546,546,316
547,547,324
548,548,313
549,549,357
550,550,306
551,551,317
552,552,302
553,553,654
554,554,519
555,555,604
556,556,558
557,557,595
558,558,547
559,559,692
560,560,533
561,561,573
562,562,649
563,563,781
564,564,562
565,565,830
566,566,550
567,567,574
568,568,557
569,569,586
570,570,764
571,571,651
572,572,533
573,573,638
574,574,568
575,575,552
576,576,531
577,577,576
578,578,2537
579,579,1063
580,580,694
581,581,557
582,582,531
583,583,537
584,584,521
585,585,561
586,586,566
587,587,525
588,588,535
589,589,641
590,590,548
591,591,513
592,592,498
593,593,532
594,594,502
595,595,498
596,596,492
597,597,532
598,598,469
599,599,579
600,600,524
601,601,579
602,602,512
603,603,964
604,604,537
605,605,548
606,606,479
607,607,514
608,608,477
609,609,523
610,610,492
611,611,504
612,612,493
613,613,521
614,614,478
615,615,9888
616,616,739
617,617,508
618,618,536
619,619,682
620,620,389
621,621,415
622,622,324
623,623,347
624,624,324
625,625,361
626,626,307
627,627,319
628,628,290
629,629,337
630,630,292
631,631,323
632,632,294
633,633,330
634,634,298
635,635,318
636,636,289
637,637,424
638,638,293
639,639,319
640,640,294
641,641,335
642,642,297
643,643,317
644,644,295
645,645,345
646,646,298
647,647,314
648,648,295
649,649,354
650,650,291
651,651,335
652,652,305
653,653,351
654,654,314
655,655,382
656,656,294
657,657,333
658,658,299
659,659,318
660,660,298
661,661,336
662,662,290
663,663,339
664,664,293
665,665,330
666,666,297
667,667,311
668,668,293
669,669,349
670,670,293
671,671,315
672,672,292
673,673,327
674,674,295
675,675,316
676,676,294
677,677,342
678,678,293
679,679,321
680,680,291
681,681,337
682,682,418
683,683,317
684,684,292
685,685,372
686,686,295
687,687,314
688,688,294
689,689,324
690,690,291
691,691,316
692,692,299
693,693,340
694,694,293
695,695,321
696,696,292
697,697,330
698,698,471
699,699,319
700,700,292
701,701,1415
702,702,333
703,703,307
704,704,296
705,705,323
706,706,292
707,707,311
708,708,292
709,709,327
710,710,283
711,711,296
712,712,285
713,713,326
714,714,290
715,715,297
716,716,290
717,717,340
718,718,284
719,719,322
720,720,284
721,721,323
722,722,286
723,723,309
724,724,286
725,725,325
726,726,292
727,727,318
728,728,288
729,729,330
730,730,293
731,731,312
732,732,292
733,733,357
734,734,291
735,735,313
736,736,292
737,737,323
738,738,284
739,739,311
740,740,289
741,741,345
742,742,513
743,743,341
744,744,286
745,745,324
746,746,313
747,747,318
748,748,310
749,749,356
750,750,296
751,751,317
752,752,290
753,753,330
754,754,290
755,755,296
756,756,293
757,757,325
758,758,347
759,759,393
760,760,290
761,761,315
762,762,293
763,763,301
764,764,294
765,765,384
766,766,299
767,767,312
768,768,301
769,769,323
770,770,301
771,771,329
772,772,297
773,773,410
774,774,356
775,775,342
776,776,311
777,777,372
778,778,325
779,779,337
780,780,305
781,781,348
782,782,303
783,783,327
784,784,335
785,785,337
786,786,2950
787,787,429
788,788,314
789,789,374
790,790,313
791,791,403
792,792,311
793,793,366
794,794,408
795,795,327
796,796,299
797,797,358
798,798,300
799,799,325
800,800,298
801,801,337
802,802,321
803,803,332
804,804,430
805,805,362
806,806,477
807,807,324
808,808,312
809,809,340
810,810,315
811,811,323
812,812,312
813,813,349
814,814,310
815,815,305
816,816,312
817,817,349
818,818,540
819,819,320
820,820,311
821,821,364
822,822,332
823,823,300
824,824,310
825,825,323
826,826,315
827,827,307
828,828,309
829,829,379
830,830,308
831,831,302
832,832,315
833,833,332
834,834,328
835,835,313
836,836,571
837,837,330
838,838,313
839,839,312
840,840,313
841,841,330
842,842,313
843,843,312
844,844,313
845,845,343
846,846,371
847,847,316
848,848,315
849,849,335
850,850,312
851,851,314
852,852,310
853,853,342
854,854,312
855,855,314
856,856,309
857,857,329
858,858,321
859,859,318
860,860,311
861,861,355
862,862,306
863,863,316
864,864,312
865,865,327
866,866,314
867,867,319
868,868,311
869,869,340
870,870,310
871,871,1828
872,872,365
873,873,346
874,874,401
875,875,339
876,876,325
877,877,361
878,878,320
879,879,322
880,880,316
881,881,342
882,882,318
883,883,327
884,884,320
885,885,739
886,886,316
887,887,338
888,888,367
889,889,333
890,890,311
891,891,335
892,892,309
893,893,391
894,894,333
895,895,327
896,896,306
897,897,339
898,898,318
899,899,337
900,900,320
901,901,364
902,902,318
903,903,332
904,904,318
905,905,479
906,906,319
907,907,318
908,908,318
909,909,351
910,910,323
911,911,324
912,912,324
913,913,332
914,914,325
915,915,401
916,916,318
917,917,345
918,918,316
919,919,329
920,920,321
921,921,325
922,922,444
923,923,324
924,924,313
925,925,364
926,926,313
927,927,329
928,928,317
929,929,326
930,930,316
931,931,323
932,932,318
933,933,335
934,934,316
935,935,319
936,936,323
937,937,333
938,938,323
939,939,327
940,940,326
941,941,365
942,942,316
943,943,318
944,944,318
945,945,334
946,946,316
947,947,321
948,948,316
949,949,340
950,950,334
951,951,318
952,952,319
953,953,335
954,954,315
955,955,319
956,956,317
957,957,10233
958,958,405
959,959,342
960,960,329
961,961,339
962,962,324
963,963,339
964,964,323
965,965,342
966,966,331
967,967,326
968,968,313
969,969,465
970,970,313
971,971,325
972,972,301
973,973,333
974,974,292
975,975,325
976,976,300
977,977,332
978,978,299
979,979,327
980,980,301
981,981,459
982,982,431
983,983,325
984,984,300
985,985,337
986,986,300
987,987,323
988,988,299
989,989,351
990,990,302
991,991,325
992,992,297
993,993,337
994,994,301
995,995,323
996,996,293
997,997,367
998,998,310
999,999,333
1000,1000,300
1001,1001,335
1002,1002,299
1003,1003,320
1004,1004,298
1005,1005,363
1006,1006,297
1007,1007,324
1008,1008,299
1009,1009,481
1010,1010,365
1011,1011,382
1012,1012,344
1013,1013,386
1014,1014,332
1015,1015,334
1016,1016,306
1017,1017,335
