Numero operacion, Valor, duracion
0,0,3020
1,1,352
2,2,252
3,3,64
4,4,292
5,5,54
6,6,60
7,7,39
8,8,206
9,9,35
10,10,33
11,11,47
12,12,35
13,13,35
14,14,32
15,15,32
16,16,209
17,17,34
18,18,35
19,19,35
20,20,33
21,21,35
22,22,35
23,23,35
24,24,32
25,25,31
26,26,35
27,27,33
28,28,34
29,29,32
30,30,34
31,31,33
32,32,393
33,33,32
34,34,34
35,35,35
36,36,36
37,37,36
38,38,35
39,39,33
40,40,33
41,41,33
42,42,34
43,43,33
44,44,32
45,45,33
46,46,32
47,47,34
48,48,32
49,49,32
50,50,32
51,51,33
52,52,34
53,53,33
54,54,34
55,55,32
56,56,34
57,57,36
58,58,36
59,59,33
60,60,35
61,61,32
62,62,34
63,63,33
64,64,429
65,65,36
66,66,37
67,67,34
68,68,33
69,69,33
70,70,31
71,71,35
72,72,33
73,73,32
74,74,33
75,75,34
76,76,36
77,77,37
78,78,52
79,79,56
80,80,35
81,81,34
82,82,33
83,83,34
84,84,34
85,85,35
86,86,34
87,87,35
88,88,55
89,89,32
90,90,33
91,91,35
92,92,34
93,93,33
94,94,35
95,95,32
96,96,34
97,97,33
98,98,35
99,99,34
100,100,34
101,101,32
102,102,33
103,103,33
104,104,33
105,105,33
106,106,32
107,107,33
108,108,31
109,109,33
110,110,32
111,111,32
112,112,32
113,113,31
114,114,33
115,115,31
116,116,33
117,117,31
118,118,33
119,119,34
120,120,33
121,121,33
122,122,33
123,123,33
124,124,31
125,125,33
126,126,33
127,127,33
128,128,1547
129,129,34
130,130,36
131,131,34
132,132,34
133,133,33
134,134,33
135,135,34
136,136,33
137,137,35
138,138,33
139,139,33
140,140,34
141,141,35
142,142,35
143,143,33
144,144,33
145,145,34
146,146,33
147,147,34
148,148,35
149,149,35
150,150,31
151,151,34
152,152,34
153,153,35
154,154,33
155,155,32
156,156,31
157,157,34
158,158,31
159,159,33
160,160,32
161,161,32
162,162,33
163,163,32
164,164,34
165,165,34
166,166,33
167,167,31
168,168,31
169,169,33
170,170,33
171,171,35
172,172,33
173,173,32
174,174,31
175,175,31
176,176,33
177,177,35
178,178,32
179,179,31
180,180,32
181,181,34
182,182,33
183,183,32
184,184,32
185,185,33
186,186,33
187,187,32
188,188,32
189,189,31
190,190,33
191,191,31
192,192,31
193,193,30
194,194,31
195,195,34
196,196,34
197,197,34
198,198,34
199,199,33
200,200,34
201,201,33
202,202,33
203,203,33
204,204,33
205,205,32
206,206,34
207,207,33
208,208,32
209,209,33
210,210,33
211,211,33
212,212,33
213,213,32
214,214,34
215,215,33
216,216,34
217,217,33
218,218,33
219,219,33
220,220,33
221,221,32
222,222,34
223,223,33
224,224,34
